TI,AU,PY,SO
"DESCOLONIZAR OS LIVROS DIDÁTICOS: RAÇA, GÊNERO E COLONIALIDADE NOS LIVROS DE EDUCAÇÃO DO CAMPO; [DECOLONIZING TEXTBOOKS: RACE, GENDER AND COLONIALITY IN RURAL EDUCATION TEXTBOOKS]",DE O R,2017,REVISTA BRASILEIRA DE EDUCACAO
"DIADORIM, HERMÓGENES, AND THE ANCIENTS: MEN OF LINEAGE IN THE BACKLANDS; [DIADORIM, HERMÓGENES E OS ANTIGOS: HOMENS DA RAÇA DE FERRO NO SERTÃO]; [DIADORIM, HERMÓGENES Y LOS ANTIGUOS: HOMBRES DE LA RAZA DE HIERRO EN EL SERTÃO]",DA C L,2019,TOPOI (BRAZIL)
DIALECTICS OF THE OVERSEER; [DIALÉTICA DO FEITOR1],GATO M,2021,NOVOS ESTUDOS CEBRAP
DID SOMEONE MENTION QUARE THEORY? THINKING RACE AND SEXUALITY FROM NORTH AMERICAN BLACK LGBTQIA+ INTELLECTUALS’ CRITIQUE OF QUEER THEORY; [ALGUÉM FALOU EM TEORIA QUARE? PENSANDO RAÇA E SEXUALIDADE A PARTIR DA CRÍTICA DE INTELECTUAIS LGBTQIA + NEGRES NORTE-AMERICANES À TEORIA QUEER],DE A W R,2021,REVISTA BRASILEIRA DE HISTORIA
"DIFFERENCE, BODY AND NARRATIVE: THE VISIBILITY AND NON-VISIBILITY OF DISABILITY, RACE AND SEXUALITY IN SIMON DICKEL; [DIFERENÇA, CORPO E NARRATIVA: A VISIBILIDADE E A NÃO VISIBILIDADE DA DEFICIÊNCIA, RAÇA E SEXUALIDADE EM SIMON DICKEL]",BARBOSA-FOHRMANN A,2023,REVISTA DE ESTUDOS EMPIRICOS EM DIREITO
"DIFFERENCES AND INEQUALITIES IN NEGOTIATION: RACE, SEXUALITY AND GENDER IN RECENT ACADEMIC PRODUCTIONS; [DIFERENÇAS E DESIGUALDADES NEGOCIADAS: RAÇA, SEXUALIDADE E GÊNERO EM PRODUÇÕES ACADÊMICAS RECENTES]",MOUTINHO L,2014,CADERNOS PAGU
DISSEMINA LAB — NEW APPROACHES TO RACE AND GENDER IN CONTEMPORARY MEDIA; [DISSEMINA LAB — NOVOS ENFOQUES DE GÊNERO E RAÇA NA MÍDIA CONTEMPORÂNEA],RODRIGUES G;DOS S P;PAULLA M,2021,REVISTA DE COMUNICACAO E LINGUAGENS
"DO GENDER, CLASS, AND RACE HAVE DISABILITY? ASIAN-BRAZILIAN HISTORIES AND ACTIVISMS; [GÊNERO, CLASSE E RAÇA TÊM DEFICIÊNCIA? HISTÓRIAS E ATIVISMOS ASIÁTICO-BRASILEIROS]; [¿GÉNERO, CLASE Y RAZA TIENEN DISCAPACIDAD? HISTORIAS Y ACTIVISMOS ASIÁTICO-BRASILEÑOS]",LOPES P;HIGA L,2024,REVISTA ESTUDOS FEMINISTAS
DOSSIÊ RETRATO DAS DESIGUALDADES DE GÊNERO E RAÇA APRESENTAÇÃO,BONETTI A;QUERINO A,2009,REVISTA ESTUDOS FEMINISTAS
"EDUCATION FOR ETHNIC-RACIAL RELATIONS IN HIGHER EDUCATION: ANALYSIS OF FEDERAL LAW NO 10,639/03 UNDER THE INTERSECTIONAL PERSPECTIVE",SANTANA D;EUFRAZIO M;DE F N;DA S A,2022,HUMANIDADES & INOVACAO
"EDUCATIONAL INEQUALITIES IN METROPOLISES: TERRITORY, SOCIOECONOMIC STATUS, RACE, AND GENDER; [DESIGUALDADES EDUCACIONAIS EM METRÓPOLES: TERRITÓRIO, NÍVEL SOCIOECONÔMICO, RAÇA E GÊNERO]; [DESIGUALDADES EDUCATIVAS EN METRÓPOLIS: TERRITÓRIO, CONDICIÓN SOCIOECONÓMICA, RAZA E GÉNERO]",ERNICA M;RODRIGUES E,2020,EDUCACAO E SOCIEDADE
"EPIDEMIOLOGICAL PROFILE OF ADOLESCENTS LIVING WITH HIV/AIDS IN ESPIRITO SANTO, BRAZIL: A CROSS-SECTIONAL STUDY",FIALHO C;BONOMO M;DA S S;MIRANDA A,2023,JOURNAL OF HUMAN GROWTH AND DEVELOPMENT
EQUITY AND PERFORMANCE IN THE NATIONAL HIGH SCHOOL EXAM: A STUDY ON SEX AND RACE IN BRAZILIAN MUNICIPALITIES; [EQUIDADE E DESEMPENHO NO EXAME NACIONAL DO ENSINO MÉDIO: UM ESTUDO SOBRE SEXO E RAÇA NOS MUNICÍPIOS BRASILEIROS]; [EQUIDAD Y DESEMPEÑO EN EL EXAMEN NACIONAL DE ENSEÑANZA MEDIA: UN ESTUDIO SOBRE SEXO Y RAZA EN MUNICIPIOS BRASILEÑOS],DE M C;PERES R;BARBOSA M;PEDREIRA C,2022,EDUCATION POLICY ANALYSIS ARCHIVES
