"";"classe 1";"classe 2";"classe 3"
"domestic";-1,614;-0,164;2,529
"distribute";0,033;-0,002;-0,015
"death";2,133;-1,594;-0,015
"day";2,133;-0,002;-1,752
"cuban";-1,614;-2,128;6,918
"critically";-1,209;1,37;-0,015
"crisis";-1,209;5,697;-1,752
"criolo";-1,614;-2,128;6,918
"creative";0,033;-0,002;-0,015
"control";0,033;-1,594;1,158
"continue";-0,026;-0,164;0,303
"connect";-1,614;7,607;-2,34
"conflict";-1,614;7,607;-2,34
"confirm";0,033;-0,002;-0,015
"configuration";-1,209;1,37;-0,015
"conceptualize";-1,614;2,903;-0,24
"comment";-1,209;-1,594;5,181
"combination";0,899;0,422;-2,34
"close";0,899;0,422;-2,34
"centre";2,133;-0,002;-1,752
"centrality";-1,209;-1,594;5,181
"ceará";0,033;-1,594;1,158
"capitalist";-1,614;-2,128;6,918
"capital";2,133;-1,594;-0,015
"benefit";-1,209;-0,002;1,158
"belong";-0,026;0,422;-0,24
"basis";-1,209;-0,002;1,158
"basic";-1,209;-0,002;1,158
"baby";0,033;-1,594;1,158
"audiovisual";-1,209;-1,594;5,181
"attitude";0,033;-0,002;-0,015
"atlantic";-1,209;5,697;-1,752
"alternative";-1,614;-0,164;2,529
"al";0,033;1,37;-1,752
"agent";-1,209;-1,594;5,181
"aesthetic";0,033;-0,002;-0,015
"activist";-1,209;1,37;-0,015
"active";0,033;-0,002;-0,015
"abaetê";-1,614;-2,128;6,918
"0perc";7,51;-1,594;-1,752
"vaccination";2,133;-1,594;-0,015
"unit";7,51;-1,594;-1,752
"treat";0,033;-1,594;1,158
"traditional";-1,209;-1,594;5,181
