"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"448";3;5;6;9;10;13;14;14;14
"449";3;5;6;9;10;13;14;14;14
"450";3;5;7;7;7;7;7;7;7
"451";3;5;7;7;7;7;7;7;7
"452";3;5;6;9;10;13;15;16;18
"453";3;5;6;9;10;13;14;14;14
"454";3;5;6;9;10;13;14;14;14
"455";3;5;7;7;7;7;7;7;7
"456";3;5;7;7;7;7;7;7;7
"457";3;5;6;9;10;13;15;16;18
"458";3;5;6;9;10;13;14;14;14
"459";3;5;6;9;10;13;14;14;14
"460";3;5;7;7;7;7;7;7;7
"461";3;5;6;9;10;13;15;16;18
"462";3;5;6;9;10;13;15;17;17
"463";3;5;6;9;10;13;15;16;18
"464";3;5;6;9;10;13;15;16;18
"465";3;4;4;4;4;4;4;4;4
"466";3;5;6;9;10;13;14;14;14
"467";3;5;6;9;10;13;14;14;14
"468";3;5;6;9;10;13;14;14;14
"469";3;5;7;7;7;7;7;7;7
"470";3;5;6;9;10;13;15;16;18
"471";3;5;6;9;10;13;14;14;14
"472";3;5;6;9;10;13;14;14;14
"473";3;5;6;9;10;13;14;14;14
"474";3;5;6;9;10;13;14;14;14
"475";3;5;6;9;10;13;15;17;17
"476";3;5;6;9;10;13;14;14;14
"477";3;5;6;9;10;13;14;14;14
"478";3;5;6;9;10;13;14;14;14
"479";3;5;6;9;10;13;15;16;18
"480";3;5;6;9;10;13;15;16;18
"481";3;5;6;9;10;13;15;16;18
"482";3;5;6;9;10;13;15;16;18
"483";3;5;6;9;10;13;14;14;14
"484";3;5;6;9;10;13;14;14;14
"485";3;5;6;9;10;13;15;16;18
"486";3;5;6;9;10;13;14;14;14
"487";3;5;6;9;10;13;15;17;17
"488";3;5;6;9;10;13;15;16;18
"489";3;5;6;9;10;13;15;16;18
"490";3;5;6;9;10;13;15;16;18
"491";3;5;6;9;10;13;15;16;19
"492";3;4;4;4;4;4;4;4;4
"493";3;5;6;9;10;13;14;14;14
"494";3;4;4;4;4;4;4;4;4
"495";3;4;4;4;4;4;4;4;4
"496";3;4;4;4;4;4;4;4;4
"497";3;4;4;4;4;4;4;4;4
"498";3;4;4;4;4;4;4;4;4
"499";3;5;6;9;10;13;15;16;18
"500";3;5;6;9;10;13;15;17;17
"501";3;5;6;9;10;13;15;16;18
"502";3;5;6;9;10;13;14;14;14
"503";3;5;6;9;10;13;15;16;18
"504";3;5;6;9;10;13;15;16;18
"505";3;5;6;9;10;13;14;14;14
"506";3;5;6;9;10;13;15;16;18
"507";3;5;6;9;11;11;11;11;11
"508";3;5;6;9;10;13;15;16;18
"509";3;5;6;9;10;13;15;17;17
"510";3;5;6;9;10;13;15;16;18
"511";3;5;6;9;10;13;15;16;18
"512";3;5;6;9;10;13;14;14;14
"513";3;5;6;9;10;13;14;14;14
"514";3;5;6;9;10;13;15;16;18
"515";3;5;6;9;10;13;14;14;14
"516";3;5;6;9;10;13;14;14;14
"517";3;4;4;4;4;4;4;4;4
"518";3;5;6;9;10;13;15;16;18
"519";3;5;6;9;10;13;15;16;18
"520";3;5;6;9;10;13;15;17;17
"521";3;5;6;9;10;13;15;16;18
"522";3;5;6;9;10;13;14;14;14
"523";3;4;4;4;4;4;4;4;4
"524";3;4;4;4;4;4;4;4;4
"525";3;4;4;4;4;4;4;4;4
"526";3;4;4;4;4;4;4;4;4
"527";3;4;4;4;4;4;4;4;4
"528";3;5;7;7;7;7;7;7;7
"529";3;5;7;7;7;7;7;7;7
"530";3;5;6;9;10;13;15;16;18
"531";3;5;6;9;10;13;15;16;18
"532";3;4;4;4;4;4;4;4;4
"533";3;5;6;9;10;13;14;14;14
"534";3;5;6;9;10;13;14;14;14
"535";3;5;6;9;10;13;14;14;14
"536";3;4;4;4;4;4;4;4;4
"537";3;5;6;9;10;13;14;14;14
"538";3;4;4;4;4;4;4;4;4
"539";3;5;6;8;8;8;8;8;8
"540";3;5;6;9;10;13;14;14;14
"541";3;5;6;9;10;13;14;14;14
"542";3;5;6;9;10;13;15;16;18
"543";3;5;6;9;10;13;14;14;14
"544";3;4;4;4;4;4;4;4;4
"545";3;4;4;4;4;4;4;4;4
"546";3;4;4;4;4;4;4;4;4
"547";3;4;4;4;4;4;4;4;4
"548";3;5;6;9;10;13;14;14;14
"549";3;5;6;9;10;13;14;14;14
"550";3;5;6;9;10;13;15;16;18
"551";3;5;6;9;10;13;15;16;18
"552";3;5;6;9;10;13;14;14;14
"553";3;4;4;4;4;4;4;4;4
"554";3;5;6;9;10;13;14;14;14
"555";3;5;7;7;7;7;7;7;7
"556";3;5;6;9;10;13;15;17;17
"557";3;4;4;4;4;4;4;4;4
"558";3;4;4;4;4;4;4;4;4
"559";3;4;4;4;4;4;4;4;4
"560";3;4;4;4;4;4;4;4;4
"561";3;4;4;4;4;4;4;4;4
